"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4821.45",16633,"Iron",34,"Found",1960,44.75,-79.88333,"Iron","Achondrite","Iron",NA,NA,"0",1
"5430.45",18789,"Iron, IAB complex",72.54,"Found",1984,48.85,-64.43333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"6912.2",24326,"Iron, IIIAB",760000,"Found",1947,-19.3,127.76667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","13",0.0166285644122995
"5798.1",22767,"H5",54900,"Found",1915,30.81667,-97.05,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"4959.1",16855,"H5",9.2,"Found",1975,-30.75833,127.525,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"4216.42",12084,"Iron, IIAB",40000,"Found",1976,55.608833,11.229167,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"4767.61",15447,"L6",220,"Fell",1801,-20,57,"L","Chondrite","Stony","Ordinary","L","0",1
"6585.1",23894,"L6",5000,"Found",1959,31.11667,-97.3,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"586.3",4932,"Iron, IIIAB",41000,"Found",1974,-7.53133,-46.04117,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"5430.46",18789,"Iron, IAB complex",72.54,"Found",1984,48.85,-64.43333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"5895.40",23172,"Iron, IIAB",162000,"Found",1883,41.76611,-8.58361,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"6765.52",24159,"Iron, IAB-ung",7700,"Found",1953,34.25,-119.3,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"742.1",5114,"H5",500,"Fell",1812,55.46667,35.86667,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"4388.50",12286,"H4",135000,"Fell",1850,38.98333,141.61667,"H","Chondrite","Stony","Ordinary","H","0",1
"4581.48",12757,"Iron",3.3,"Found",1904,-40.73333,146.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"656",5023,"H6",3880,"Fell",1943,-26.16667,28.41667,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"6751.47",24144,"H6",2799,"Fell",1944,11.98333,79.75,"H","Chondrite","Stony","Ordinary","H","0",1
"6867.1",24247,"H6",627.7,"Found",1969,-30.05,128.93333,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"3459.2",10184,"L5",21900,"Found",1981,34.54,-102.56833,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"9.47",10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,"0",1
"536.3",2349,"H5",55400,"Found",1969,32.9,-102.28333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5839.39",23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL","0",1
"6989.5",30404,"L4",42000,"Fell",1984,45.81667,125.91667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"4821.46",16633,"Iron",34,"Found",1960,44.75,-79.88333,"Iron","Achondrite","Iron",NA,NA,"0",1
"940.3",5335,"Iron, IAB-sHL",127760,"Found",1938,53.66667,88,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","8",0.0565394577591197
"6911.46",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"4949.63",16844,"L6",4610,"Found",1880,-34.1,18.46667,"L","Chondrite","Stony","Ordinary","L","0",1
"3307.1",10012,"Iron, IIE",28800,"Found",1959,64.7,141.2,"Iron IIE","Achondrite","Iron","Magmatic","Siderite","6",0.0228321181540189
"3454.1",10178,"H5",9062,"Found",1921,36.71667,-86.56667,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"930.42",5323,"H5",27900,"Found",1964,31.33333,121.66667,"H","Chondrite","Stony","Ordinary","H","0",1
"4451.54",12351,"EH3",334,"Found",1905,-13.01667,34.2,"EH","Chondrite","Stony","Enstatite","EH-EL","0",1
"459.45",470,"Iron, IAB-sHL",4100,"Found",1887,44.65,-87.46667,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"876.59",5261,"Iron, IVB",136000,"Found",1793,-33.5,26,"Iron IVB","Achondrite","Iron","Magmatic","Siderite","0",1
"5008.64",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",1
"6772",24164,"Iron, IIE",70,"Found",1876,48.63333,34.36667,"Iron IIE","Achondrite","Iron","Magmatic","Siderite","1",0.0294975764627465
"4751.69",15426,"Pallasite, PMG",45000,"Fell",1902,61.5,30.5,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"6953.3",30365,"Iron, IAB-ung",60000,"Found",1971,22.75,108.33333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"4907.5",16763,"Iron, IAB-MG",13600,"Found",1907,-30.81667,29.35,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"5455.2",18816,"Stone-uncl",367,"Fell",1843,41.36667,-6.23333,"Stony",NA,"Stony",NA,NA,"2",0.064345060252235
"4882.55",16738,"L6",8887.5,"Fell",1930,-40.975,145.6,"L","Chondrite","Stony","Ordinary","L","0",1
"33.2",34,"H5",1464,"Found",1989,27.55,3.93333,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"5031.4",16933,"Iron, IIIAB",11310,"Found",1968,34.52667,-102.105,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"4593",12770,"Iron, IIE",344,"Found",1964,29.6,103.7,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative","1",0.0294975764627465
"983.50",5382,"H3.5",277,"Found",1986,11.7,-137.8,"H","Chondrite","Stony","Ordinary","H","0",1
"1039.1",5437,"H4",6800,"Found",1962,-29.85,140.7,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"4488",12391,"LL5",54.3,"Found",1986,24.35,-102.16667,"LL","Chondrite","Stony","Ordinary","LL","13",0.0166285644122995
"4898.59",16754,"H4/5",7100,"Found",1925,-44.81667,171.13333,"H","Chondrite","Stony","Ordinary","H","0",1
"610.5",4951,"L4",2e+05,"Found",1845,-35.3,144.56667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5330.2",18022,"H4",85.4,"Found",1983,-32.12333,141.07972,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
